District ID;Electoral district ;Delegation;Actively registred ;Eligible voters;Ratio
310;Sousse;Kalaa Sghira;12853;20703;62,08
310;Sousse;Zaouia-Ksiba- Thrayet ;10977;15705;69,89
320;Monastir;Monastir;40675;89982;45,2
320;Monastir;Ouerdanine;8276;13341;62,03
320;Monastir;Sahline;11975;17345;69,04
320;Monastir;Zermadine;9977;18571;53,72
320;Monastir;Beni Hassen;5520;8788;62,81
320;Monastir;Jammel;22701;39013;58,19
320;Monastir;Bembla;11911;19708;60,44
320;Monastir;Moknine;31283;49952;62,63
320;Monastir;Bekalta;6001;10662;56,28
320;Monastir;Teboulba;14666;22498;65,19
320;Monastir;Ksar Helal;22095;33533;65,89
320;Monastir;Ksibet El Mediouni;15014;22732;66,05
320;Monastir;Sayada-Lamta-BouHjar;11611;21151;54,9
330;Mahdia;Mahdia;30738;69067;44,5
330;Mahdia;Boumerdes;10229;20994;48,72
330;Mahdia;Ouled Chamekh;6465;15869;40,74
330;Mahdia;Chorbane;8002;18055;44,32
330;Mahdia;Hbira;3494;8164;42,8
330;Mahdia;Souassi;12536;33135;37,83
330;Mahdia;El Jem;11762;29877;39,37
330;Mahdia;Chebba;10810;18097;59,73
330;Mahdia;Melloulech;5947;13607;43,71
330;Mahdia;Sidi allouane;10218;23469;43,54
330;Mahdia;Ksour Essef;17684;37023;47,76
341;Sfax 1;Sakiet Ezzit;44958;54728;82,15
341;Sfax 1;Sakiet Eddaier;43956;56082;78,38
341;Sfax 1;Jebeniana;16404;33591;48,83
341;Sfax 1;El Amra;8857;20321;43,59
341;Sfax 1; Hencha;16777;31117;53,92
341;Sfax 1;Menzel Chaker;9752;23306;41,84
341;Sfax 1;Bir Ali Ben Kelifa;15209;22429;67,81
341;Sfax 1;Kerkennah;6933;13446;51,56
342;Sfax 2;Sfax Medina;52478;174086;30,14
342;Sfax 2;Sfax Ouest;50034;63748;78,49
342;Sfax 2;Sfax Sud;48461;61606;78,66
342;Sfax 2;Tina;19610;29788;65,83
342;Sfax 2;Agareb;15751;26503;59,43
342;Sfax 2;El Ghraiba;6381;11277;56,58
342;Sfax 2;Skhira;13200;21696;60,84
342;Sfax 2;Mahres;13067;26443;49,42
410;Kairouan;Kairouan Nord;32917;90447;36,39
410;Kairouan;Kairouan Sud;28046;53363;52,56
410;Kairouan;Chebika;10557;23522;44,88
410;Kairouan;Sbikha;16856;47211;35,7
410;Kairouan; Oueslatia;14017;25230;55,56
410;Kairouan;Haffouz;14990;30301;49,47
410;Kairouan;Alaa;9238;21451;43,07
410;Kairouan;Hajeb El Ayoun;13735;24417;56,25
410;Kairouan;Nasrallah;13557;28165;48,13
410;Kairouan;Chrarda;8877;19156;46,34
410;Kairouan;Bouhajla;18420;46228;39,85
420;Kasserine;Kasserine Nord;31544;67474;46,75
420;Kasserine;Kasserine Sud;7520;13477;55,8
420;Kasserine;Ezzouhour;10698;15472;69,14
420;Kasserine;Hassi El Ferid;5457;11056;49,36
420;Kasserine;Sbeitla;25623;47801;53,6
420;Kasserine;Sbiba;12997;25238;51,5
420;Kasserine;Jedeliane;4632;8344;55,51
420;Kasserine; Ayoun;4690;11020;42,56
420;Kasserine;Thala;13233;17316;76,42
420;Kasserine;Hidra;3516;6278;56,01
420;Kasserine;Foussana;16583;28523;58,14
420;Kasserine;Feriana;14176;30773;46,07
420;Kasserine;Majel Belabbes;7654;13260;57,72
430;Sidi Bouzid;Sidi Bouzid Ouest;26448;66697;39,65
430;Sidi Bouzid;Sidi Bouzid Est;13864;32000;43,33
430;Sidi Bouzid;Jelma;14022;24914;56,28
430;Sidi Bouzid;Sabalat Ouled Asker;6950;13397;51,88
430;Sidi Bouzid;Bir El Hfay;12797;27833;45,98
430;Sidi Bouzid;Sidi Ali ben Aoun;8169;16539;49,39
430;Sidi Bouzid;Menzel Bouzaiene;11589;17638;65,7
430;Sidi Bouzid;Meknassi;10148;15637;64,9
430;Sidi Bouzid;Souk Jedid;8522;21162;40,27
430;Sidi Bouzid;Mazzouna;9612;15324;62,73
430;Sidi Bouzid;Regueb;24300;41954;57,92
430;Sidi Bouzid;Ouled Haffouz;8993;15039;59,8
510;Gabes;Gabes Medina;23275;56020;41,55
510;Gabes;Gabes Ouest;13085;23252;56,27
510;Gabes;Gabes Sud;30176;39171;77,04
510;Gabes;Ghanouch;10433;16686;62,53
510;Gabes;Metouia;12482;19466;64,12
510;Gabes;Menzel  Habib;4650;8102;57,39
510;Gabes;Hamma;30563;47206;64,74
510;Gabes;Matmata;2023;7054;28,68
510;Gabes; Matmata Nouvelle;6103;12965;47,07
510;Gabes;Mareth;22516;48797;46,14
520;Medenine;Medenine Nord;17046;62002;27,49
520;Medenine;Medenine Sud;20978;35139;59,7
520;Medenine;Beni Khedach;11537;21171;54,49
520;Medenine;Ben Guerdane;21779;48669;44,75
520;Medenine;Zarzis;27625;68067;40,59
520;Medenine;Djerba Houmet souk;26291;53418;49,22
520;Medenine;Djerba Midoun;25690;51229;50,15
520;Medenine;Djerba Ajim;7031;21730;32,36
520;Medenine;Sidi Makhlouf;8469;16028;52,84
530;Tataouine;Tataouine Nord;16696;46504;35,9
530;Tataouine;Tataouine Sud;12733;25663;49,62
530;Tataouine;Samar;3526;8714;40,46
530;Tataouine;Bir Lahmar;2771;6541;42,36
530;Tataouine;Ghomrassen;5124;19187;26,71
530;Tataouine;Dhiba;1311;2845;46,08
530;Tataouine;Remada;3030;6186;48,98
610;Gafsa;Gafsa Nord;3128;6454;48,47
610;Gafsa;Sidi Aich;2937;5052;58,14
610;Gafsa;Ksar;13696;22168;61,78
610;Gafsa;Gafsa Sud;33368;77658;42,97
610;Gafsa;Oum Laraies;12349;25364;48,69
610;Gafsa;Redeyef;9877;22730;43,45
610;Gafsa;Metlaoui;18478;30447;60,69
610;Gafsa;Mdhila;5777;11140;51,86
610;Gafsa; Guetar;7973;14947;53,34
610;Gafsa;Belkhir;4922;10979;44,83
610;Gafsa;Sened;11683;23838;49,01
620;Tozeur;Tozeur;19034;32635;58,32
620;Tozeur;Deguech;12961;20019;64,74
620;Tozeur;Tameghza;2815;4773;58,98
620;Tozeur;Nefta;9409;15817;59,49
620;Tozeur;Hazoua;2270;3078;73,75
630;Kebili;Kebili Sud;14713;26773;54,95
630;Kebili;Kebili Nord;12274;20638;59,47
630;Kebili;Souk El Ahed;14206;24311;58,43
630;Kebili;Douz Nord;11176;19164;58,32
630;Kebili;Douz Sud;7980;11675;68,35
630;Kebili;Faouar;8174;11115;73,54
;Etranger;France 1;93978;194968;48,2
;Etranger;France 2;89757;239408;37,49
;Etranger;Italie;67364;102663;65,62
;Etranger;Allemagne;37065;63429;58,44
;Etranger;Amerique;54073;72162;74,93
;Etranger;Monde Arabe et reste du monde  ;18307;48966;37,39
