District ID;Electoral District ;Delegation;Actively registred;Voters among actively registered ;percentage ;automatically registred;Voters among automatically registered ;percentage ;Total registred;Total voters;Total percentage
510;Gabes;Matmata;2023;1655;82;5031;346;7;7054;2001;28,4
510;Gabes; Matmata Nouvelle;6103;5014;82;6862;495;7;12965;5509;42,5
510;Gabes;Mareth;22516;18558;82;26281;2437;9;48797;20995;43
610;Gafsa;Gafsa Nord;3128;2589;83;3326;500;15;6454;3089;47,9
610;Gafsa;Sidi Aich;2937;2530;86;2115;805;38;5052;3335;66
610;Gafsa; Ksar;13696;11429;83;8472;1910;23;22168;13339;60,2
610;Gafsa;Gafsa Sud;33368;28494;85;44290;7401;17;77658;35895;46,2
610;Gafsa;Oum Laraies;12349;10203;83;13015;2592;20;25364;12795;50,4
610;Gafsa;Redeyef;9877;8617;87;12853;2340;18;22730;10957;48,2
610;Gafsa;Metlaoui;18478;15397;83;11969;2175;18;30447;17572;57,7
610;Gafsa;Mdhila;5777;4789;83;5363;1465;27;11140;6254;56,1
610;Gafsa;Guetar;7973;6698;84;6974;1125;16;14947;7823;52,3
610;Gafsa;Belkhir;4922;3794;77;6057;842;14;10979;4636;42,2
610;Gafsa;Sened;11683;9388;80;12155;1751;14;23838;11139;46,7
630;Kebili;Kebili Sud;14713;13533;92;12060;2643;22;26773;16176;60,4
630;Kebili;Kebili Nord;12274;10887;89;8364;1376;16;20638;12263;59,4
630;Kebili;Souk El Ahed;14206;12573;89;10105;1867;18;24311;14440;59,4
630;Kebili;Douz Nord;11176;10163;91;7988;2602;33;19164;12765;66,6
630;Kebili;Douz Sud;7980;7099;89;3695;1136;31;11675;8235;70,5
630;Kebili;Faouar;8174;7091;87;2941;801;27;11115;7892;71
